"STATE","FACILITY_NAME","ORISPL_CODE","UNITID","OP_DATE","SUM_OP_TIME","COUNT_OP_TIME","GLOAD (MWh)","SLOAD (1000 lbs)","SO2_MASS (tons)","SO2_RATE (lbs/mmBtu)","NOX_RATE (lbs/mmBtu)","NOX_MASS (tons)","CO2_MASS (tons)","CO2_RATE (tons/mmBtu)","HEAT_INPUT (mmBtu)","FAC_ID","UNIT_ID"
"NC","Butler-Warner Generation Plant","1016","GT-1","01-01-2017","0","0","","","","","","","","","","7405","9622"
"NC","Butler-Warner Generation Plant","1016","GT-1","01-02-2017","0","0","","","","","","","","","","7405","9622"
"NC","Butler-Warner Generation Plant","1016","GT-1","01-03-2017","0","0","","","","","","","","","","7405","9622"
"NC","Butler-Warner Generation Plant","1016","GT-1","01-04-2017","5","5","92","","0",".0008",".303",".207","","","1364.4","7405","9622"
"NC","Butler-Warner Generation Plant","1016","GT-1","01-05-2017","0","0","","","","","","","","","","7405","9622"
"NC","Butler-Warner Generation Plant","1016","GT-1","01-06-2017","0","0","","","","","","","","","","7405","9622"
"NC","Butler-Warner Generation Plant","1016","GT-1","01-07-2017","0","0","","","","","","","","","","7405","9622"
"NC","Butler-Warner Generation Plant","1016","GT-1","01-08-2017","10","10","233","",".864",".5",".333",".575","","","3455.8","7405","9622"
"NC","Butler-Warner Generation Plant","1016","GT-1","01-09-2017","10","10","226","",".838",".5",".3328",".558","","","3352","7405","9622"
"NC","Butler-Warner Generation Plant","1016","GT-1","01-10-2017","0","0","","","","","","","","","","7405","9622"
"NC","Butler-Warner Generation Plant","1016","GT-1","01-11-2017","0","0","","","","","","","","","","7405","9622"
"NC","Butler-Warner Generation Plant","1016","GT-1","01-12-2017","0","0","","","","","","","","","","7405","9622"
"NC","Butler-Warner Generation Plant","1016","GT-1","01-13-2017","0","0","","","","","","","","","","7405","9622"
"NC","Butler-Warner Generation Plant","1016","GT-1","01-14-2017","0","0","","","","","","","","","","7405","9622"
"NC","Butler-Warner Generation Plant","1016","GT-1","01-15-2017","0","0","","","","","","","","","","7405","9622"
"NC","Butler-Warner Generation Plant","1016","GT-1","01-16-2017","0","0","","","","","","","","","","7405","9622"
"NC","Butler-Warner Generation Plant","1016","GT-1","01-17-2017","0","0","","","","","","","","","","7405","9622"
