# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nc/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2012-09-21 09:04:08 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02085070 ENO RIVER NEAR DURHAM, NC
# -----------------------------------------------------------------------------------
#
# Data provided for site 02085070
#    DD parameter   Description
#    02   00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	tz_cd	02_00060	02_00060_cd
5s	15s	20d	6s	14n	10s
USGS	02085070	2012-08-31 00:00	EDT	6.0	P
USGS	02085070	2012-08-31 00:15	EDT	6.0	P
USGS	02085070	2012-08-31 00:30	EDT	6.0	P
USGS	02085070	2012-08-31 00:45	EDT	6.2	P
USGS	02085070	2012-08-31 01:00	EDT	6.2	P
USGS	02085070	2012-08-31 01:15	EDT	6.2	P
USGS	02085070	2012-08-31 01:30	EDT	6.0	P
USGS	02085070	2012-08-31 01:45	EDT	6.0	P
USGS	02085070	2012-08-31 02:00	EDT	6.0	P
USGS	02085070	2012-08-31 02:15	EDT	6.0	P
USGS	02085070	2012-08-31 02:30	EDT	6.0	P
USGS	02085070	2012-08-31 02:45	EDT	6.2	P
USGS	02085070	2012-08-31 03:00	EDT	6.0	P
USGS	02085070	2012-08-31 03:15	EDT	6.0	P
USGS	02085070	2012-08-31 03:30	EDT	6.0	P
USGS	02085070	2012-08-31 03:45	EDT	5.8	P
USGS	02085070	2012-08-31 04:00	EDT	5.8	P
USGS	02085070	2012-08-31 04:15	EDT	6.0	P
USGS	02085070	2012-08-31 04:30	EDT	6.0	P
USGS	02085070	2012-08-31 04:45	EDT	6.0	P
USGS	02085070	2012-08-31 05:00	EDT	5.8	P
USGS	02085070	2012-08-31 05:15	EDT	6.0	P
USGS	02085070	2012-08-31 05:30	EDT	5.8	P
USGS	02085070	2012-08-31 05:45	EDT	6.0	P
USGS	02085070	2012-08-31 06:00	EDT	5.8	P
USGS	02085070	2012-08-31 06:15	EDT	6.0	P
USGS	02085070	2012-08-31 06:30	EDT	6.0	P
USGS	02085070	2012-08-31 06:45	EDT	5.8	P
USGS	02085070	2012-08-31 07:00	EDT	6.0	P
USGS	02085070	2012-08-31 07:15	EDT	6.0	P
USGS	02085070	2012-08-31 07:30	EDT	6.0	P
USGS	02085070	2012-08-31 07:45	EDT	6.0	P
USGS	02085070	2012-08-31 08:00	EDT	6.0	P
USGS	02085070	2012-08-31 08:15	EDT	6.0	P
USGS	02085070	2012-08-31 08:30	EDT	6.0	P
USGS	02085070	2012-08-31 08:45	EDT	6.0	P
USGS	02085070	2012-08-31 09:00	EDT	6.0	P
USGS	02085070	2012-08-31 09:15	EDT	6.0	P
USGS	02085070	2012-08-31 09:30	EDT	5.8	P
USGS	02085070	2012-08-31 09:45	EDT	6.0	P
USGS	02085070	2012-08-31 10:00	EDT	5.8	P
USGS	02085070	2012-08-31 10:15	EDT	6.0	P
USGS	02085070	2012-08-31 10:30	EDT	5.8	P
USGS	02085070	2012-08-31 10:45	EDT	5.8	P
